"EASTING" "NORTHING" "Emberiza_citrinella" "bio1" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19"
195000 35000 1 101 57 33 4184.8291015625 195 24.0284423828125 170.971557617188 60.0284423828125 140 156 51 1056.88623046875 127.971557617188 59 28.9715576171875 371.914672851562 178.028442382812 189 348.914672851562
195000 555000 0 83.940315246582 66 36 4143.5693359375 179.886367797852 0.886370658874512 179 65.2859878540039 99.994255065918 137.940307617188 33.7756156921387 1160.24035644531 124.011489868164 65.8949890136719 23.0539417266846 369.091278076172 206.801467895508 255.690719604492 316.875518798828
195000 635000 0 72.6595840454102 64.8482666015625 36 4170.5380859375 169.729156494141 -8.34041309356689 178.069564819336 31.0398178100586 90.793083190918 128.880889892578 22.4200496673584 1714.05786132812 195.37939453125 91.2215423583984 25.6654644012451 562.741027832031 288.790954589844 340.904174804688 511.836059570312
195000 665000 0 82.8944244384766 64.198616027832 35.5875854492188 4167.53955078125 178.505447387695 1.67237019538879 176.833084106445 41.0847816467285 101.990829467773 138.894424438477 32.6723709106445 1735.76245117188 198.901672363281 90.7165985107422 27 575.438720703125 283.170806884766 338.972198486328 522.608093261719
195000 715000 0 78.4559783935547 63.0765380859375 34.3372764587402 4340.90869140625 176.118698120117 -4.59356594085693 180.712265014648 34.4829750061035 99.1456985473633 137.118698120117 25.4829730987549 1922.43786621094 229.876525878906 96.5440216064453 28.6627235412598 652.454284667969 309.099548339844 367.360290527344 590.063354492188
195000 745000 0 82.7484741210938 63 34.5427169799805 4354.505859375 179.663040161133 -1.70880496501923 181.371841430664 38.2911949157715 103.823211669922 140.805770874023 29.2911949157715 1879.06005859375 227.00016784668 92.0863952636719 29.0572891235352 641.012023925781 298.560302734375 356.720458984375 576.966430664062
195000 75000 1 103.868354797363 56 32 4300.6728515625 197.903305053711 25.6085739135742 172.294723510742 60.841552734375 119.00993347168 160.101333618164 51.841552734375 1004.64099121094 117.523071289062 58.0966949462891 27 346.697357177734 174.290084838867 188.030303955078 319.507446289062
195000 785000 0 71.3984832763672 62.0419692993164 34 4329.12548828125 167.944122314453 -11.6751518249512 179.619262695312 27.3984851837158 91.0420913696289 129.472122192383 18.3984851837158 1913.50610351562 237.741470336914 93.2481079101562 29.6016387939453 659.699340820312 305.240661621094 357.404937744141 598.878295898438
195000 905000 0 84.1326675415039 60 36.1326675415039 3740.21411132812 171 8.13266563415527 162.867340087891 66.1326675415039 97.2653350830078 134 40.1326675415039 1175.71459960938 132.397994995117 63.1326675415039 26 392.32666015625 197.530670166016 234.795989990234 341.928649902344
205000 215000 0 98.6730346679688 53 31 4238.04541015625 190.579833984375 21.178186416626 169.401641845703 78.6730346679688 112.126434326172 155.074676513672 47.7247886657715 901.01318359375 104.325492858887 52.3254890441895 25.4104690551758 304.617767333984 159.830047607422 184.692443847656 256.019409179688
205000 45000 1 103.855461120605 57 33 4159.95166015625 196.564651489258 26.9362087249756 169.628448486328 62.9362106323242 142.210067749023 158.210067749023 53.8554649353027 1022.88067626953 121.934471130371 57.7091941833496 27.3545970916748 356.013488769531 175.499130249023 186.418380737305 332.368072509766
205000 535000 0 84.0256042480469 66 36 4213.94873046875 180.025604248047 -0.487197399139404 180.512802124023 64.5128021240234 100.025604248047 138.025604248047 32.0256042480469 1097.71838378906 118.974395751953 63.4871978759766 23 353.410369873047 196.948791503906 239.46159362793 299.384765625
205000 565000 0 82.9897766113281 66 36 4190.6005859375 178.989776611328 -0.959790647029877 179.949569702148 62.2224960327148 99.9795532226562 137.029983520508 31.0402088165283 1200.6552734375 129.693618774414 66.6149749755859 23.7570514678955 385.141510009766 211.419677734375 260.257141113281 330.252593994141
205000 615000 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
205000 655000 0 84.4110717773438 65.197509765625 36 4192.1875 180.898834228516 2.21356725692749 178.685256958008 41.624641418457 104.309898376465 140.802490234375 33.624641418457 1605.64477539062 180.294677734375 85.7779998779297 26.4877529144287 525.35888671875 264.040161132812 318.629058837891 474.572479248047
205000 735000 0 73.2799835205078 63.9496383666992 34 4428.57421875 173.32258605957 -11.7200164794922 185.042602539062 28.2296199798584 94.229621887207 132.826461791992 19.2296199798584 1974.267578125 243.703491210938 98.1301498413086 29.0495872497559 679.041748046875 315.095001220703 368.412933349609 621.630065917969
205000 815000 0 57.1379051208496 62 33.2383003234863 4376.693359375 156.119995117188 -27.165096282959 183.285095214844 13.1379041671753 75.4272537231445 116.188949584961 3.59660291671753 1865.38061523438 232.533493041992 94.748046875 29 642.952941894531 305.023742675781 348.620361328125 589.18701171875
